No,DUR유형,단일/복합,DUR성분코드,DUR성분,복합일경우이것과먹으면문제,병용금기단일/복합,병용금기DUR성분코드,병용금기dur성분,병용금기복합제,금기내용
1,병용금기,단일,D000762,이트라코나졸,,단일,D000027,심바스타틴,,횡문근융해증
2,병용금기,단일,D000762,이트라코나졸,,단일,D000592,트리아졸람,,triazolam 의 약리학적 효과 및 작용(수면유도 및 진정작용 등의 중추신경 억제 효과) 증가
3,병용금기,단일,D000353,파록세틴,,단일,D000139,셀레길린염산염,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
4,병용금기,단일,D000139,셀레길린염산염,,단일,D000336,설트랄린,,"세로토닌성 증후군 (고열, 간대성근경련, 정신상태 변화등)"
5,병용금기,단일,D000660,알프라졸람,,단일,D000762,이트라코나졸,,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장"
6,병용금기,단일,D000455,아토르바스타틴,,단일,D000769,케토코나졸,,근육병증
7,병용금기,복합,D000747,에르고타민,D001266,단일,D000650,수마트립탄,,혈압상승 및 맥각독성(말초혈관수축증가) 위험
8,병용금기,단일,D000202,디히드로에르고타민,,단일,D000628,록시트로마이신,,"맥각독성(혈관경련, 말단 및 기타조직 허혈)위험증가"
9,병용금기,단일,D000762,이트라코나졸,,단일,D000419,로바스타틴,,횡문근융해증
10,병용금기,단일,D000769,케토코나졸,,단일,D000419,로바스타틴,,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
11,병용금기,단일,D000019,아시트레틴,,단일,D000716,메토트렉세이트,,간 독성
12,병용금기,단일,D000660,알프라졸람,,단일,D000769,케토코나졸,,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장"
13,병용금기,단일,D000540,부스피론,,단일,D000139,셀레길린염산염,,혈압상승
14,병용금기,단일,D000373,클래리트로마이신,,단일,D000719,미졸라스틴,,심실부정맥(Torsade de pointes)
15,병용금기,단일,D000202,디히드로에르고타민,,단일,D000650,수마트립탄,,"혈압 상승 및 에르고티즘(말초혈관수축 증가, 경련, 사지허혈) 위험 증가"
16,병용금기,단일,D000503,독시사이클린,,단일,D000758,이소트레티노인,,두개내 고혈압
17,병용금기,단일,D000255,알트레타민,,단일,D000413,피리독신,,"피리독신은 신경독성을 현저하게 감소시켰으나 반응기간에는 역효과, 알트레타민의 치료효과 감소"
18,병용금기,단일,D000256,에리트로마이신,,단일,D000719,미졸라스틴,,QT연장 등
19,병용금기,단일,D000758,이소트레티노인,,단일,D000127,미노사이클린,,테트라사이클린 가성뇌종양 보고
20,병용금기,단일,D000758,이소트레티노인,,단일,D000064,테트라사이클린,,테트라사이클린 가성뇌종양 보고
21,병용금기,단일,D000758,이소트레티노인,,단일,D000754,옥시테트라사이클린,,테트라사이클린 가성뇌종양 보고
22,병용금기,복합,D000426,메트로니다졸,D000338,단일,D000719,미졸라스틴,,심실부정맥(Torsade de pointes)
23,병용금기,단일,D000323,미르타자핀,,단일,D000139,셀레길린염산염,,"구역, 구토, 안면홍조, 어지러움, 진전, 산동, 강직, 발한, 고온증, 심장지표의 빠른 변화, 자율신경계의 불안정, 정신상태의 변화"
24,병용금기,단일,D000719,미졸라스틴,,단일,D000628,록시트로마이신,,"말초혈관경련, 사지허혈, 감각이상등"
25,병용금기,단일,D000259,아미오다론,,단일,D000022,소타롤,,심실부정맥(Torsade de pointes) 위험 증가
26,병용금기,단일,D000259,아미오다론,,단일,D000256,에리트로마이신,,심실부정맥(Torsade de pointes) 위험 증가
27,병용금기,단일,D000259,아미오다론,,단일,D000513,펜타미딘,,심실부정맥(Torsade de pointes) 위험 증가
28,병용금기,단일,D000452,아스피린,,단일,D000716,메토트렉세이트,,혈액학적 독성
29,병용금기,단일,D000373,클래리트로마이신,,단일,D000213,피모지드,,"pimozide의 혈중농도 상승, QT연장"
30,병용금기,단일,D000256,에리트로마이신,,단일,D000213,피모지드,,QT연장 등
31,병용금기,단일,D000256,에리트로마이신,,단일,D000770,클로람페니콜,,병용을 하여도 항균작용이 증가되지 않음
32,병용금기,단일,D000256,에리트로마이신,,단일,D000678,클린다마이신,,병용을 하여도 항균작용이 증가되지 않음
33,병용금기,단일,D000256,에리트로마이신,,단일,D000713,린코마이신,,병용을 하여도 항균작용이 증가되지 않음
34,병용금기,단일,D000517,플루코나졸,,단일,D000592,트리아졸람,,triazolam 의 약리학적 효과 및 작용증가
35,병용금기,단일,D000113,할로페리돌,,단일,D000560,에피네프린,,혈압강하효과
36,병용금기,단일,D000363,이부프로펜,,단일,D000716,메토트렉세이트,,혈액학적 독성
37,병용금기,단일,D000762,이트라코나졸,,단일,D000007,미다졸람,,midazolam 의 약리학적 효과 및 작용(수면유도 및 진정작용 등의 중추신경 억제 효과) 증가
38,병용금기,단일,D000762,이트라코나졸,,단일,D000213,피모지드,,QT 간격 연장 및 심실부정맥(Torsade de pointes) 위험 증가
39,병용금기,단일,D000769,케토코나졸,,단일,D000007,미다졸람,,midazolam 의 약리학적 효과 및 작용증가
40,병용금기,단일,D000769,케토코나졸,,단일,D000592,트리아졸람,,triazolam 의 약리학적 효과 및 작용증가
41,병용금기,단일,D000429,모클로베미드,,단일,D000139,셀레길린염산염,,심각한 혈압저하 위험 증가
42,병용금기,단일,D000414,히드로클로로티아지드,,단일,D000256,에리트로마이신,,심실성빈맥(Torsade de pointes)
43,병용금기,단일,D000429,모클로베미드,,단일,D000650,수마트립탄,,수마트립탄의 혈장농도 증가
44,병용금기,단일,D000781,페르페나진,,단일,D000560,에피네프린,,혈압강하효과
45,병용금기,단일,D000139,셀레길린염산염,,단일,D000516,플루옥세틴,,"세로토닌성 증후군 (고혈압, 고열, 경련, 정신상태 변화등)"
46,병용금기,단일,D000027,심바스타틴,,단일,D000769,케토코나졸,,"근병증, 횡문근융해의 위험증가"
47,병용금기,단일,D000027,심바스타틴,,단일,D000256,에리트로마이신,,"근병증, 횡문근융해의 위험증가"
48,병용금기,단일,D000027,심바스타틴,,단일,D000373,클래리트로마이신,,"근병증, 횡문근융해의 위험증가"
49,병용금기,단일,D000060,테녹시캄,,단일,D000716,메토트렉세이트,,혈액학적 독성
50,병용금기,단일,D000592,트리아졸람,,단일,D000256,에리트로마이신,,triazolam 의 약리학적 효과 및 작용증가
51,병용금기,단일,D000249,아세타졸아미드,,단일,D000065,토피라메이트,,신결석
52,병용금기,단일,D000274,케토롤락,,단일,D000739,아세클로페낙,,중증의 위장관계 이상반응
53,병용금기,단일,D000274,케토롤락,,단일,D000138,세레콕시브,,중증의 위장관계 이상반응
54,병용금기,단일,D000274,케토롤락,,단일,D000086,덱시부프로펜,,중증의 위장관계 이상반응
55,병용금기,단일,D000274,케토롤락,,단일,D000463,에토돌락,,중증의 위장관계 이상반응
56,병용금기,단일,D000455,아토르바스타틴,,단일,D000762,이트라코나졸,,근육병증
57,병용금기,단일,D000274,케토롤락,,단일,D000506,디클로페낙,,중증의 위장관계 이상반응
58,병용금기,단일,D000274,케토롤락,,단일,D000071,페노프로펜,,중증의 위장관계 이상반응
59,병용금기,단일,D000274,케토롤락,,단일,D000705,플루르비프로펜,,중증의 위장관계 이상반응
60,병용금기,단일,D000274,케토롤락,,단일,D000230,메페남산,,중증의 위장관계 이상반응
61,병용금기,단일,D000274,케토롤락,,단일,D000427,멜록시캄,,중증의 위장관계 이상반응
62,병용금기,단일,D000274,케토롤락,,단일,D000081,나부메톤,,중증의 위장관계 이상반응
63,병용금기,단일,D000274,케토롤락,,단일,D000060,테녹시캄,,중증의 위장관계 이상반응
64,병용금기,단일,D000429,모클로베미드,,단일,D000448,슈도에페드린,,교감신경흥분제의 작용 증강 또는 연장
65,병용금기,단일,D000213,피모지드,,단일,D000362,이미프라민,,QT연장
66,병용금기,단일,D000213,피모지드,,단일,D000466,노르트립틸린,,QT연장
67,병용금기,단일,D000027,심바스타틴,,단일,D000763,인디나빌,,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
68,병용금기,단일,D000027,심바스타틴,,복합,D000626,로피나비르,D000712,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
69,병용금기,단일,D000027,심바스타틴,,단일,D000003,넬피나비어,,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
70,병용금기,단일,D000027,심바스타틴,,단일,D000712,리토나비르,,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
71,병용금기,단일,D000031,아세메타신,,단일,D000298,디플루니살,,중증의 위장관계 이상반응
72,병용금기,단일,D000017,부프레노르핀,,단일,D000006,모르핀,,"진통효과 감소, 금단증상 위험"
73,병용금기,단일,D000298,디플루니살,,단일,D000575,인도메타신,,중증의 위장관계 이상반응
74,병용금기,단일,D000672,케토프로펜,,단일,D000142,시프로플록사신,,경련
75,병용금기,단일,D000274,케토롤락,,단일,D000702,펜톡시필린,,출혈 및 프로트롬빈시간 연장
76,병용금기,단일,D000211,프로글루메타신,,단일,D000298,디플루니살,,중증의 위장관계 이상반응
77,병용금기,단일,D000650,수마트립탄,,단일,D000277,클로미프라민,,세로토닌 증후군
78,병용금기,단일,D000650,수마트립탄,,단일,D000747,에르고타민,,상가적인 혈관경련
79,병용금기,단일,D000650,수마트립탄,,단일,D000059,탄산리튬,,세로토닌 증후군
80,병용금기,단일,D000019,아시트레틴,,단일,D000503,독시사이클린,,두개내압 증가
81,병용금기,단일,D000019,아시트레틴,,단일,D000127,미노사이클린,,두개내압 증가
82,병용금기,단일,D000019,아시트레틴,,단일,D000754,옥시테트라사이클린,,두개내압 증가
83,병용금기,단일,D000019,아시트레틴,,단일,D000064,테트라사이클린,,두개내압 증가
84,병용금기,단일,D000259,아미오다론,,단일,D000712,리토나비르,,"부정맥, 혈액장애, 발작 등 중대한 이상반응"
85,병용금기,단일,D000259,아미오다론,,단일,D000429,모클로베미드,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
86,병용금기,단일,D000248,아목사핀,,단일,D000139,셀레길린염산염,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
87,병용금기,단일,D000657,아프라클로니딘,,단일,D000429,모클로베미드,,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)"
88,병용금기,단일,D000657,아프라클로니딘,,단일,D000139,셀레길린염산염,,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)"
89,병용금기,단일,D000150,아타자나비르,,단일,D000202,디히드로에르고타민,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
90,병용금기,단일,D000150,아타자나비르,,단일,D000747,에르고타민,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
91,병용금기,단일,D000150,아타자나비르,,단일,D000419,로바스타틴,,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
92,병용금기,단일,D000150,아타자나비르,,단일,D000228,메틸에르고메트린,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
93,병용금기,단일,D000150,아타자나비르,,단일,D000213,피모지드,,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가"
94,병용금기,단일,D000150,아타자나비르,,단일,D000027,심바스타틴,,횡문근융해증을 비롯한 근육질환 등 중증 이상반응
95,병용금기,단일,D000641,브리모니딘,,단일,D000429,모클로베미드,,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)"
96,병용금기,단일,D000641,브리모니딘,,단일,D000139,셀레길린염산염,,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)"
97,병용금기,단일,D000476,카르바마제핀,,단일,D000429,모클로베미드,,"고혈압, 저혈압, 발한을 동반한 심각한 중추신경계 이상반응(현기, 진전, 발작 등)"
98,병용금기,단일,D000476,카르바마제핀,,단일,D000139,셀레길린염산염,,"고혈압, 저혈압, 발한을 동반한 심각한 중추신경계 이상반응(현기, 진전, 발작 등)"
99,병용금기,단일,D000476,카르바마제핀,,단일,D000443,보리코나졸,,혈중농도가 저하되어 보리코나졸의 약물효과 감소
100,병용금기,단일,D000332,시탈로프람,,단일,D000429,모클로베미드,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
101,병용금기,단일,D000277,클로미프라민,,단일,D000429,모클로베미드,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
102,병용금기,단일,D000202,디히드로에르고타민,,단일,D000558,에파비렌즈,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
