200808876,가스디알정50밀리그램(디메크로틴산마그네슘),원형,연두,,,,7.6,7.6.1,3.6,당의정
200808877,페라트라정2.5밀리그램(레트로졸),원형,노랑,,,,6.1,6.1,3.5,필름코팅정
200808948,졸뎀속붕정(졸피뎀타르타르산염),원형,하양,,,,9,9,4,정제
200809076,가스프렌정(모사프리드시트르산염이수화물),장방형,하양,,,-,9.1,4.5,3.4,필름코팅정
200809361,바르탄정(발사르탄),원형,분홍,,-,,6.5,6.5,1.8,필름코팅정
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),타원형,하양,,,,19.55,10.50,7.06,필름코팅정
200809710,사르발탄정160밀리그램(발사르탄),타원형,주황,,,-,14.19,6.13,5.20,필름코팅정
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),장방형,하양,,,-,9,4.6,3.2,필름코팅정
200809883,아푸르탄정150밀리그램(이르베사르탄),타원형,하양,,,,12.4,6.4,4.95,필름코팅정
200809909,발사르텔정80밀리그램(발사르탄),원형,분홍,,-,,8.2,8.2,3.6,필름코팅정
200809910,발사르텔정160밀리그램(발사르탄),타원형,주황,,-,,14,5.5,4,필름코팅정
200809959,동광모니플루메이트정350mg,타원형,하양,,,,14.5,5.5,3,나정
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),원형,하양,,,,6.13,6.13,2.63,필름코팅정
200810314,발산정80밀리그램(발사르탄),원형,분홍,,-,,8,8,2,필름코팅정
200810338,가스리드정5mg(모사프리드시트르산염수화물),장방형,하양,,,-,9.1,4.6,3.1,필름코팅정
200810473,엑스반정80밀리그램(발사르탄),원형,분홍,,,-,8.14,8.14,3.57,필름코팅정
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),장방형,하양,하양,,,14,4,4,스팬슐
200810522,발트렙정160밀리그램(발사르탄),타원형,주황,,-,,15.00,6.35,4.35,필름코팅정
200810789,수로신디정(탐스로신염산염),원형,하양,,,,9.0,9.0,3.5,
200810870,로수로드정10밀리그램(로수바스타틴칼슘),원형,분홍,,,,7,7,3,필름코팅정
200811004,슈니펜정(모니플루메이트),장방형,하양,,,,14.2,7.2,5.2,나정
200811104,디오살탄정160밀리그램(발사르탄),타원형,노랑,,-,,14.4,5.6,5.0,필름코팅정
200811105,디오살탄정80밀리그램(발사르탄),원형,분홍,,-,,8.1,8.1,3.4,필름코팅정
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),원형,분홍,,-,,7.0,7.0,3.2,나정
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),원형,분홍,,-,,7.0,7.0,3.2,나정
200811619,디로탄정160mg(발사르탄),타원형,주황,,-,,14,5,3,필름코팅정
200811883,인케어정(옥수수불검화정량추출물),원형,주황,,,,15,15,3,필름코팅정
200811971,제이코정,장방형,하양,,,-,15,7.45,5.7,필름코팅정
200900005,노페인에프정(수출용),타원형,하양,,-,,19,10,6,나정
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),타원형,초록,,,,14.7,8.5,8.5,"연질캡슐제, 현탁상"
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),타원형,갈색,,,,19.9,9,9,"연질캡슐제, 현탁상"
200900193,모니맥정(모니플루메이트),장방형,하양,,,,14.2,7.2,5,나정
200900194,모니필정350밀리그램(모니플루메이트),장방형,하양,,,,14.2,7.2,5.3,나정
200900195,모니메르정(모니플루메이트),장방형,하양,,,,14.2,7.2,5.2,나정
200900196,모니트정350밀리그램(모니플루메이트),장방형,하양,,,,14.2,7.2,5.2,나정
200900242,키비칼츄어블정,원형,분홍,,,,14.07,14.07,6.37,추어블정(저작정)
200900378,칸데사르플러스정16/12.5밀리그램,장방형,주황,,-,,9.6,4.5,3.3,나정
200900605,코프나캡슐,장방형,초록,하양,,,20,7,6,"경질캡슐제, 산제"
200900682,굿스펜연질캡슐(덱시부프로펜),장방형,투명,,,,20.0,8.8,8.8,"연질캡슐제, 액상"
200900823,가스파플러스정,원형,연두,,,,9.6,9.6,5.2,필름코팅정
200900833,마이칼디정,장방형,주황,,-,,20.60,8.95,7.23,필름코팅정
200900844,모빅캡슐7.5밀리그램(멜록시캄),장방형,초록,초록,,,17.4,5.9,6.1,"경질캡슐제, 산제"
200900845,모빅캡슐15밀리그램(멜록시캄),장방형,초록,노랑,,,17.7,6.4,6.4,"경질캡슐제, 산제"
200901014,코큐렉스연질캡슐,장방형,검정,,,,24.6,8.3,8.3,"연질캡슐제, 현탁상"
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),장방형,하양,,,-,18.35,7.35,6.1,필름코팅정
200901148,엔에이피정(나프록센나트륨),타원형,파랑,,,,15,8,4.75,필름코팅정
200901177,메디헤모연질캡슐,장방형,갈색,,,,24.61,8.43,8.43,"연질캡슐제, 현탁상"
200901187,이지에스정(방기황기탕건조엑스),원형,자주,,,,10.3,10.3,5.2,필름코팅정
200901205,제일아노민정,장방형,빨강,,,,16,8,5,필름코팅정
200902918,오렉스캡슐,장방형,빨강,빨강,,,21.4,7.0,7.3,"경질캡슐제, 산제"
200902983,선콜정,장방형,분홍,,,,15,8,2.5,필름코팅정
200903022,베리콜노즈정,장방형,분홍,,-,,18.5,7.7,5.3,필름코팅정
200903023,마그놀정,타원형,하양,,,,16.2,8.7,5.35,"정제, 미분류"
200903040,덴티콤캡슐,장방형,파랑,파랑,,,18.90,6.27,6.70,"캡슐, 미분류"
200903043,리버파워포르테연질캡슐,장방형,초록,,,,23,8,8,"연질캡슐제, 현탁상"
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),장방형,주황,주황,,,14.20,5.05,5.32,"서방성캡슐제, 펠렛"
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),장방형,빨강,파랑,,,14.20,5.05,5.32,"서방성캡슐제, 펠렛"
200903055,오메코프정,원형,하양,,,,11.61,11.61,5.94,필름코팅정
200903065,산도스올란자핀정10밀리그램,원형,하양,,,,10.5,10.5,5.4,필름코팅정
200903066,올란프레서정10mg(올란자핀),원형,하양,,,,10.5,10.5,5.4,필름코팅정
200903067,산도스올란자핀정5밀리그램,원형,하양,,,,8,8,4,필름코팅정
200903068,올란프레서정5mg (올란자핀),원형,하양,,,,8,8,4,필름코팅정
200903078,산도스올란자핀정2.5밀리그램,원형,하양,,,,7,7,1,필름코팅정
200903080,올란프레서정2.5mg (올란자핀),원형,하양,,,,7,7,3.25,필름코팅정
200903183,센트룸실버정,타원형,회색,,,-,19.2,8.6,7.1,필름코팅정
200903210,헤파피스연질캡슐,장방형,연두,,,,23.1,8.7,8.7,"연질캡슐제, 현탁상"
200903217,메펜연질캡슐(메페남산),장방형,파랑,,,,20,8,8,"연질캡슐제, 현탁상"
